Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
24736424832,Tủ Nhà Tắm tủ đựng mỹ phẩm 3 Tầng tủ thuốc gia đình không thấm nước không cần khoan với nhãn dán,"81,4k",10k+,Ngọc hân đồ gia dụng tổng hợp,8%,₫6.512,https://shopee.vn/product/51993766/24736424832,https://s.shopee.vn/10zKSF4rxl
25881124842,[ Áo 2 Lớp - Tặng Kính Râm ] Áo Váy Chống Nắng Toàn Thân Dành Cho Nữ Vải Hàn Lạnh Chống Tia UV,"275,0k",200k+,August.2002,15%,₫41.250,https://shopee.vn/product/58305892/25881124842,https://s.shopee.vn/qfuFw5VIk
25810898262,Bình đựng thức ăn giữ nhiệt inox 304 Elmich EL8337 dung tích 650ml,"319,0k",20k+,Elmich Việt Nam Chính Hãng,12%,₫38.280,https://shopee.vn/product/254666730/25810898262,https://s.shopee.vn/gMU3d68dj
19192149998,"[LOẠI TO ĐẶC BIỆT] Thùng 8 bịch khăn giấy rút Top Gia treo tường đa sắc 1280 tờ, siêu dai và mềm mịn","129,0k",500k+,TopGia HCM Store,13%,₫16.770,https://shopee.vn/product/1016604648/19192149998,https://s.shopee.vn/9paiyTXF2W
14999850330,"Kệ 6 tầng để đồ nhà bếp, ban công đa năng  ( KHÔNG BÁNH XE) khung thép sơn tĩnh điện","115,0k",10k+,Tiệm Decor Trang Xinh,6%,₫6.900,https://shopee.vn/product/966939285/14999850330,https://s.shopee.vn/9fHImAXsNV
42618391133,Điện thoại Apple iPhone 17 Pro 256GB,"35,4tr",5k+,Apple Flagship Store,4%,₫1.415.600,https://shopee.vn/product/88201679/42618391133,https://s.shopee.vn/9UxsZrYViU
22964423311,"[HÀNG LOẠI 1] Vòi sen tăng áp ba chế độ áp suất cao, tích hợp bàn chải massage cơ thể","45,0k",40k+,nhamoi_chuyengiadung,10%,₫4.500,https://shopee.vn/product/750340400/22964423311,https://s.shopee.vn/9KeSNYZ93T
25576340793,Chảo chống dính làm bánh xèo chiên trứng màu xám thích hợp với mọi loại bếp,"249,0k",2k+,GIA DỤNG LITI,6%,₫14.940,https://shopee.vn/product/1067796558/25576340793,https://s.shopee.vn/AUqPlhUhgi
47902462026,MIRANO Dép Nam EVA Thời Trang Chống Trơn Trượt Thoáng Khí Thường Ngày Ngoài Trời Đi Biển Tắc Giày,"117,6k",1k+,Miranolocal.vn,15%,₫17.640,https://shopee.vn/product/1685703195/47902462026,https://s.shopee.vn/AKWzZOVL1h
24127363780,Quạt M2 5000mAh di động có thể sạc gió mạnh 100 tốc độ turbo phản lực màn hình hiển thị pin,"66,0k",40k+,Kho Sỉ Quý Cúc,6%,₫3.960,https://shopee.vn/product/1179876904/24127363780,https://s.shopee.vn/AADZN5VyMg
